id,Rank,Name,Image,City,Country,Height in feet,Floors,Year opened
49,49,Empire State Building,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_from_the_Top_of_the_Rock.jpg/200px-Empire_State_Building_from_the_Top_of_the_Rock.jpg,New York City,United States,1250,102,1931
22,22,Willis Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Willis_Tower_From_Lake.jpg/200px-Willis_Tower_From_Lake.jpg,Chicago,United States,1450,108,1974
58,58,Bank of China Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/HK_Bank_of_China_Tower_View.jpg/200px-HK_Bank_of_China_Tower_View.jpg,Hong Kong,China,1205,70,1990
52,52,Central Plaza,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Central-plaza2.jpg/200px-Central-plaza2.jpg,Hong Kong,China,1226,78,1992
41,41,CITIC Plaza,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Guangzhou_CITIC_Plaza_DSC02461.jpg/200px-Guangzhou_CITIC_Plaza_DSC02461.jpg,Guangzhou,China,1280,80,1996
45,45,Shun Hing Square,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Diwang_Dasha_25.JPG/200px-Diwang_Dasha_25.JPG,Shenzhen,China,1260,69,1996
17,17,Petronas Tower 1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Petronas_Panorama_II.jpg/200px-Petronas_Panorama_II.jpg,Kuala Lumpur,Malaysia,1483,88,1998
18,17,Petronas Tower 2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Petronas_Panorama_II.jpg/200px-Petronas_Panorama_II.jpg,Kuala Lumpur,Malaysia,1483,88,1998
32,32,Jin Mao Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Jin_Mao_Tower.jpg/200px-Jin_Mao_Tower.jpg,Shanghai,China,1380,88,1999
66,66,Emirates Office Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Emirates_Towers_in_Dubai_at_dawn.jpg/200px-Emirates_Towers_in_Dubai_at_dawn.jpg,Dubai,United Arab Emirates,1163,54,2000
35,35,International Finance Centre,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/IFC%2C_Hong_Kong_Island_%282796343561%29.jpg/200px-IFC%2C_Hong_Kong_Island_%282796343561%29.jpg,Hong Kong,China,1352,88,2003
10,10,Taipei 101,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Taipei101.portrait.altonthompson.jpg/200px-Taipei101.portrait.altonthompson.jpg,Taipei,Taiwan,1667,101,2004
11,11,Shanghai World Financial Center,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/%E4%B8%8A%E6%B5%B7%E5%9B%BD%E9%99%85%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83.jpg/200px-%E4%B8%8A%E6%B5%B7%E5%9B%BD%E9%99%85%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83.jpg,Shanghai,China,1614,101,2008
31,31,Trump International Hotel and Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Chicago_September_2016-2.jpg/200px-Chicago_September_2016-2.jpg,Chicago,United States,1388,98,2009
59,59,Bank of America Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/OBP_-_Ext_-_42nd_East.jpg/200px-OBP_-_Ext_-_42nd_East.jpg,New York City,United States,1200,56,2009
1,1,Burj Khalifa,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Burj_Khalifa.jpg/200px-Burj_Khalifa.jpg,Dubai,United Arab Emirates,2717,163,2010
12,12,International Commerce Centre,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/International_Commerce_Centre_201008.jpg/200px-International_Commerce_Centre_201008.jpg,Hong Kong,China,1588,118,2010
19,19,Zifeng Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Zifeng_Tower_2017.jpg/200px-Zifeng_Tower_2017.jpg,Nanjing,China,1476,89,2010
24,24,Guangzhou International Finance Center,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/GZIFC.jpg/200px-GZIFC.jpg,Guangzhou,China,1440,103,2010
23,23,KK100,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/%E6%B7%B1%E5%9C%B3%E2%80%9C%E4%BA%AC%E5%9F%BA100%E2%80%9D%E6%91%A9%E5%A4%A9%E5%A4%A7%E6%A5%BC.jpg/200px-%E6%B7%B1%E5%9C%B3%E2%80%9C%E4%BA%AC%E5%9F%BA100%E2%80%9D%E6%91%A9%E5%A4%A9%E5%A4%A7%E6%A5%BC.jpg,Shenzhen,China,1449,100,2011
34,34,Al Hamra Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Alhamra_Tower.jpg/200px-Alhamra_Tower.jpg,Kuwait City,Kuwait,1354,80,2011
70,70,The Marina Torch,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Marina_Torch%2C_Dubai.jpg/200px-Marina_Torch%2C_Dubai.jpg,Dubai,United Arab Emirates,1155,86,2011
3,3,Abraj Al-Bait Clock Tower,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Abraj-al-Bait-Towers.JPG/200px-Abraj-al-Bait-Towers.JPG,Mecca,Saudi Arabia,1971,120,2012
33,33,Princess Tower,https://cloud.providentestate.com/wp-content/uploads/2018/12/princess-tower-5.jpg,Dubai,United Arab Emirates,1358,101,2012
40,40,23 Marina,https://images.skyscrapercenter.com/building/23-marina_ext_viewfromsouth(c)hircon-international.jpg,Dubai,United Arab Emirates,1287,89,2012
50,50,Elite Residence,https://images.skyscrapercenter.com/building/elite_ext-top_(c)tameer.jpg,Dubai,United Arab Emirates,1248,87,2012
63,63,Gevora Hotel,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Gevora_Hotel.jpg/200px-Gevora_Hotel.jpg,Dubai,United Arab Emirates,1169,75,2012
64,64,JW Marriott Marquis Dubai Tower 1,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/JW_Marriott_Marquis_Dubai2.jpg/200px-JW_Marriott_Marquis_Dubai2.jpg,Dubai,United Arab Emirates,1166,82,2012
65,65,JW Marriott Marquis Dubai Tower 2,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/JW_Marriott_Marquis_Dubai2.jpg/200px-JW_Marriott_Marquis_Dubai2.jpg,Dubai,United Arab Emirates,1166,82,2012
72,72,The Pinnacle,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/The_Pinnacle_%28Guangzhou%2C_China%29_indexxrus.JPG/200px-The_Pinnacle_%28Guangzhou%2C_China%29_indexxrus.JPG,Guangzhou,China,1149,60,2012
6,6,One World Trade Center,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/One_World_Trade_Center_cropped2.jpg/200px-One_World_Trade_Center_cropped2.jpg,New York City,United States,1776,104,2014
48,48,Burj Mohammed bin Rashid,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Burj_Mohammed_bin_Rahid%2C_Abu_Dhabi%2C_UAE_%28from_car%29.jpg/200px-Burj_Mohammed_bin_Rahid%2C_Abu_Dhabi%2C_UAE_%28from_car%29.jpg,Abu Dhabi,United Arab Emirates,1251,88,2014
2,2,Shanghai Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Shanghai_tower_dec_26%2C_2014.jpg/200px-Shanghai_tower_dec_26%2C_2014.jpg,Shanghai,China,2073,128,2015
29,29,432 Park Avenue,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/432_Park_Avenue%2C_NY_%28cropped%29.jpg/200px-432_Park_Avenue%2C_NY_%28cropped%29.jpg,New York City,United States,1396,88,2015
30,30,Marina 101,https://images.skyscrapercenter.com/building/dreamdubaimarina_ext_renderingperspective_(c)national_engineering_bureau.jpg,Dubai,United Arab Emirates,1394,101,2015
46,46,Eton Place Dalian Tower 1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Dalian_Eton_Center.jpg/200px-Dalian_Eton_Center.jpg,Dalian,China,1257,81,2015
